Data,Sentence,Label
ny,3,Other
attn,3,Other
mr.,3,Other
17801,3,Other
bob,3,Other
pollack,3,Other
am-rvvce,3,Other
o4,3,Other
v-z0,3,Other
vg,3,Other
march,3,Other
15,3,Other
1991,3,Other
best,3,Other
way,3,Other
lowest,3,Other
cost,3,Other
method,3,Other
your,3,Other
plant,3,Other
net,3,Other
30,3,Other
days,3,Other
auasmry,3,Other
code,3,Other
no.,3,Other
description,3,Other
prage,3,Other
keyrings,3,Other
to,3,Other
be,3,Other
used,3,Other
in,3,Other
connection,3,Other
with,3,Other
the,3,Other
pall,3,Other
mall,3,Other
quality,3,Other
collection,3,Other
self-liquidating,3,Other
promotion.,3,Other
6500,3,Other
keyrings,3,Other
as,3,Other
per,3,Other
sample,3,Other
submitted,3,Other
$1.45,3,B-InvoiceAmount
each,3,Other
and,3,Other
approved,3,Other
gold,3,Other
finish,3,Other
engraved,3,Other
and,3,Other
color,3,Other
filled,3,Other
in,3,Other
red,3,Other
pall,3,Other
mall.,3,Other
keyrings,3,Other
are,3,Other
to,3,Other
be,3,Other
packaged,3,Other
in,3,Other
a,3,Other
cardboard,3,Other
gift,3,Other
box.,3,Other
this,3,Other
purchase,3,Other
order,3,Other
is,3,Other
subject,3,Other
to,3,Other
and,3,Other
acceptance,3,Other
hereof,3,Other
expressly,3,Other
limited,3,Other
to,3,Other
the,3,Other
terms,3,Other
and,3,Other
conditions,3,Other
on,3,Other
the,3,Other
face,3,Other
and,3,Other
reverse,3,Other
side,3,Other
hereof,3,Other
and,3,Other
on,3,Other
the,3,Other
specification,3,Other
sheets,3,Other
attached,3,Other
hereto,3,Other
and,3,Other
expressly,3,Other
made,3,Other
a,3,Other
part,3,Other
hereof.,3,Other
accounting,3,Other
charge,3,Other
no.,3,Other
teena,3,Other
cm,3,Other
batts,3,Other
jfoe,3,Other
nie,3,Other
mere,3,Other
we,3,Other
ownee-s,3,Other
on,3,Other
geecmemom,3,Other
barnes,3,Other
frase,3,Other
crit,3,Other
vv.,3,Other
fates,3,Other
lenere,3,Other
liles,3,Other
quality,3,Other
of,3,Other
product,3,Other
is,3,Other
essential,3,Other
to,3,Other
continuing,3,Other
success,3,Other
fn,3,Other
any,3,Other
quostions,3,Other
regarding,3,Other
this,3,Other
purchase,3,Other
order,3,Other
1530,4,Other
e.jellerson,4,Other
strect,4,Other
rockville,4,Other
maryland,4,Other
20852,4,Other
r.d..,4,Other
reynolds,4,Other
tobacco,4,Other
co.,4,Other
winston-salem,4,Other
north,4,Other
carolina,4,Other
27102,4,Other
attention,4,Other
dr.,4,B-CustomerName
murraysenkus,4,I-CustomerName
director,4,Other
of,4,Other
research,4,Other
date,4,Other
may,4,B-InvoiceDate
9,4,I-InvoiceDate
1975,4,E-InvoiceDate
a,4,Other
contxact,4,Other
no,4,Other
no1-cp-55666,4,Other
j,4,Other
item,4,Other
7,4,Other
unset,4,Other
no.,4,Other
quantity,4,Other
description,4,Other
2,4,Other
price,4,Other
total,4,Other
1,4,Other
do,4,Other
produce,4,Other
sufficient,4,Other
seb,4,Other
iv,4,Other
blend,4,Other
cut,4,Other
or,4,Other
ms,4,Other
ode,4,Other
.ffinter,4,Other
casing,4,Other
added,4,Other
and,4,Other
fully,4,Other
processed,4,Other
tobacco,4,Other
to,4,Other
manufacture,4,Other
600000,4,Other
each,4,Other
85,4,Other
mm,4,Other
jnonfiltered,4,Other
cigarettes.,4,Other
see,4,Other
note,4,Other
1,4,Other
code,4,Other
67,4,Other
39,4,Other
a,4,Other
2,4,Other
200000,4,Other
each,4,Other
stb,4,Other
1v,4,Other
blend,4,Other
casing,4,Other
added,4,Other
fully,4,Other
processqd,4,Other
prone,4,Other
land,4,Other
manufactured,4,Other
into,4,Other
cigarettes,4,Other
using,4,Other
ip.j.,4,Other
schweitzer,4,Other
four,4,Other
4,4,Other
second,4,Other
naner.,4,Other
aie,4,Other
code,4,Other
68240,4,Other
note.,4,Other
1,4,Other
a,4,Other
item,4,Other
1,4,Other
only,4,Other
lorillard,4,Other
will,4,Other
pick,4,Other
up,4,Other
hitem,4,Other
1,4,Other
properly,4,Other
packaged,4,Other
for,4,Other
trans-ship-,4,Other
nent,4,Other
lorillard,4,Other
will,4,Other
use,4,Other
item,4,Other
1,4,Other
to,4,Other
manu,4,Other
this,4,Other
purchase,4,Other
order,4,Other
consists,4,Other
of,4,Other
1,4,Other
purchase,4,Other
order,4,Other
form,4,Other
2,4,Other
attachments,4,Other
3,4,Other
purchase,4,Other
order,4,Other
terms,4,Other
and,4,Other
conditions,4,Other
1...,4,Other
sign,4,Other
and,4,Other
return,4,Other
acknowledgement,4,Other
at,4,Other
once,4,Other
to,4,Other
enviro,4,Other
control,4,Other
inc,4,Other
1530,4,Other
be.,4,Other
jefferson,4,Other
street,4,Other
rockville,4,Other
maryland,4,Other
20852,4,Other
attention,4,Other
contracts,4,Other
administration,4,Other
submit,4,Other
invoices,4,Other
for,4,Other
each,4,Other
shipment,4,Other
and,4,Other
identify,4,Other
by,4,Other
item,4,Other
number.,4,Other
acknowledgement,4,Other
2,4,Other
seller,4,Other
enviro,4,Other
control,4,Other
inc,4,Other
s,4,Other
5,4,Other
f,4,Other
byt.,4,Other
by,4,Other
iy,4,Other
signature,4,Other
and,4,Other
title,4,Other
er,4,Other
a,4,Other
date,4,Other
on,4,Other
borriston,5,Other
laboratories,5,Other
inc.,5,Other
borriston,5,Other
laboratories,5,Other
inc,5,Other
5050,5,Other
beech,5,Other
place,5,Other
temple,5,Other
hills,5,Other
maryland,5,Other
20748,5,Other
telephone,5,Other
301-899-3536,5,Other
telex,5,Other
248838,5,Other
ee,5,Other
invoice,5,Other
th,5,Other
duly,5,B-InvoiceDate
5,5,I-InvoiceDate
1983,5,E-InvoiceDate
lorillard,5,Other
inc.,5,Other
420,5,Other
english,5,Other
street,5,Other
greensboro,5,Other
n.c.,5,Other
27405,5,Other
attn,5,Other
dr.,5,B-CustomerName
harry,5,I-CustomerName
minnemeyer,5,E-CustomerName
bli,5,Other
reference,5,Other
211532,5,Other
invoice,5,Other
1532-1,5,B-InvoiceNumber
description,5,Other
amount,5,Other
teratogenic,5,Other
and,5,Other
perinatal,5,Other
$6625.00,5,Other
postnatal,5,Other
study,5,Other
in,5,Other
the,5,Other
rat,5,Other
with,5,Other
d-16,5,Other
and,5,Other
b-112,5,Other
award...,5,Other
6...,5,Other
$26500.00,5,Other
invoice,5,Other
now,5,Other
1...,5,Other
6,5,Other
625,5,Other
balance,5,Other
..,5,Other
.$19875.00,5,I-InvoiceAmount
remitance,5,Other
address,5,Other
borriston,5,Other
laboratories,5,Other
inc.,5,Other
dynamac,5,Other
building,5,Other
11140,5,Other
rockville,5,Other
pike,5,Other
rockville,5,Other
md.,5,Other
20852,5,Other
be0z600,5,Other
ee,5,Other
invoice,5,Other
a,5,Other
subsidiary,5,Other
of,5,Other
dynamac,5,Other
intemational,5,Other
inc.,5,Other
borriston,6,Other
laboratories,6,Other
inc.,6,Other
borrston,6,Other
laboratories,6,Other
inc,6,Other
5050,6,Other
neech,6,Other
place,6,Other
temple,6,Other
hills,6,Other
maryland,6,Other
20748,6,Other
invoice,6,Other
telephone,6,Other
3014993536,6,Other
tele,6,Other
40838,6,Other
march,6,B-InvoiceDate
12,6,I-InvoiceDate
1984,6,E-InvoiceDate
ok,6,Other
hd,6,Other
dtbanceracivn,6,Other
lorillard,6,Other
inc.,6,Other
f165,6,Other
420,6,Other
english,6,Other
street,6,Other
dy,6,Other
1510,6,Other
greensboro,6,Other
nc,6,Other
27405,6,Other
acct.,6,Other
7,6,Other
attention,6,Other
dr.,6,B-CustomerName
harry,6,I-CustomerName
minnemeyer,6,E-CustomerName
referenci,6,Other
purchase,6,Other
order,6,Other
no.,6,Other
346,6,Other
c,6,Other
bli,6,Other
ref.,6,Other
251,6,Other
invoice,6,Other
no.,6,Other
1575-3,6,B-InvoiceNumber
description,6,Other
amount,6,Other
smoke,6,Other
condensate,6,Other
collection,6,Other
with,6,Other
d-7,6,Other
and,6,Other
0-14,6,Other
$,6,B-InvoiceAmount
10170,6,I-InvoiceAmount
$,6,Other
2500,6,Other
10000,6,Other
cigarettes,6,Other
smoked,6,Other
cigarettes,6,Other
smoked,6,Other
2,6,Other
1,6,Other
84,6,Other
2,6,Other
29,6,Other
84,6,Other
c-1604-,6,Other
20640,6,Other
0-7.,6,Other
9660,6,Other
10380,6,Other
40680,6,Other
remittance,6,Other
address,6,Other
borriston,6,Other
laboratories,6,Other
inc.,6,Other
dynamac,6,Other
building,6,Other
11140,6,Other
rockville,6,Other
pike,6,Other
rockville,6,Other
md,6,Other
20852,6,Other
94502600,6,Other
invoice,6,Other
a,6,Other
subsidiary,6,Other
of,6,Other
dynamac,6,Other
intemational,6,Other
inc.,6,Other
borriston,7,Other
research,7,Other
laboratories,7,Other
inc.,7,Other
invoice,7,Other
august,7,B-InvoiceDate
20,7,I-InvoiceDate
1981,7,E-InvoiceDate
lorillard,7,Other
inc.,7,Other
420,7,Other
english,7,Other
st.,7,Other
ra,7,Other
greensboro,7,Other
n.c.,7,Other
27420,7,Other
attention,7,Other
dr.,7,B-CustomerName
harry,7,I-CustomerName
minnemeyer,7,E-CustomerName
reference,7,Other
purchase,7,Other
order,7,Other
312-a,7,Other
brl,7,Other
ref.,7,Other
Feb-22,7,Other
222-j,7,Other
invoice,7,Other
no.,7,Other
05-Mar,7,B-InvoiceNumber
description,7,Other
amount.,7,Other
for,7,Other
submission,7,Other
of,7,Other
final,7,Other
$2700.00,7,B-InvoiceAmount
report,7,Other
cardiovascular,7,Other
testing,7,Other
of,7,Other
compound,7,Other
a-11,7,Other
in,7,Other
the,7,Other
beagle,7,Other
dog,7,Other
at,7,Other
$2700.00,7,Other
per,7,Other
compound.,7,Other
remittance,7,Other
address,7,Other
enviro,7,Other
control,7,Other
inc.,7,Other
11140,7,Other
rockville,7,Other
pike,7,Other
rockville,7,Other
md.,7,Other
20852,7,Other
attn,7,Other
b.,7,Other
belford,7,Other
accounting,7,Other
rinvoice,7,Other
99btzz600,7,Other
5050,7,Other
beech,7,Other
place,7,Other
temple,7,Other
hills,7,Other
maryland,7,Other
20031,7,Other
301-899-3536,7,Other
research,8,Other
triangle,8,Other
institute,8,Other
invoice,8,Other
date,8,Other
march,8,B-InvoiceDate
8,8,I-InvoiceDate
1984,8,E-InvoiceDate
terns,8,Other
net,8,Other
inv.,8,Other
no.,8,Other
31t,8,B-InvoiceNumber
2552-148,8,I-InvoiceNumber
0,8,Other
lorillard,8,Other
research,8,Other
center,8,Other
post,8,Other
office,8,Other
box,8,Other
21688,8,Other
greensboro,8,Other
n.,8,Other
c.,8,Other
27420,8,Other
attn,8,Other
dr.,8,B-CustomerName
harry,8,I-CustomerName
minnemeyer,8,E-CustomerName
director,8,Other
research,8,Other
reference,8,Other
p.0.,8,Other
no.,8,Other
327b,8,Other
and,8,Other
336a,8,Other
agreement,8,Other
dated,8,Other
11,8,Other
18,8,Other
82,8,Other
for,8,Other
carbon-14,8,Other
syntheses,8,Other
other,8,Other
direct,8,Other
costs,8,Other
period,8,Other
february,8,Other
1,8,Other
1984,8,Other
to,8,Other
february,8,Other
29,8,Other
1984,8,Other
other,8,Other
direct,8,Other
costs,8,Other
current,8,Other
cumulative,8,Other
materials,8,Other
$,8,Other
990.04,8,Other
$11374.12,8,Other
services,8,Other
110,8,Other
1191,8,Other
shipping,8,Other
communications,8,Other
56.7,8,Other
246,8,Other
odc,8,Other
subtotal,8,Other
31156.74,8,Other
siz,8,Other
811.12,8,Other
omase,8,Other
oh,8,Other
prov,8,Other
12,8,Other
138.81,8,Other
1475.25,8,Other
odc,8,Other
and,8,Other
omase,8,Other
subtotal,8,Other
37295.55,8,Other
344286.37,8,Other
fee,8,Other
15,8,Other
194.33,8,Other
2142.95,8,Other
total,8,Other
amount,8,Other
claimed,8,Other
37489.88,8,Other
$96429.32,8,Other
total,8,Other
due,8,Other
$1489.88,8,B-InvoiceAmount
1,8,Other
details,8,Other
are,8,Other
provided,8,Other
on,8,Other
the,8,Other
attached,8,Other
list.,8,Other
please,8,Other
note,8,Other
that,8,Other
prices,8,Other
presented,8,Other
on,8,Other
the,8,Other
list,8,Other
do,8,Other
not,8,Other
include,8,Other
prepaid,8,Other
shipping,8,Other
charges,8,Other
and,8,Other
sales,8,Other
tax,8,Other
when,8,Other
applicable,8,Other
such,8,Other
charges,8,Other
are,8,Other
included,8,Other
in,8,Other
the,8,Other
total,8,Other
material,8,Other
amount,8,Other
claimed,8,Other
above.,8,Other
please,8,Other
return,8,Other
one,8,Other
copy,8,Other
of,8,Other
invoice,8,Other
with,8,Other
payment,8,Other
to,8,Other
assure,8,Other
proper,8,Other
credit,8,Other
obezz600,8,Other
national,9,Other
black,9,Other
omnibus,9,Other
ltd.,9,Other
120,9,Other
east,9,Other
56,9,Other
street,9,Other
new,9,Other
york,9,Other
new,9,Other
york,9,Other
10022,9,Other
212-686-5211,9,Other
mr,9,B-CustomerName
william,9,I-CustomerName
doyle,9,E-CustomerName
lorillard,9,Other
co.,9,Other
iwoices,9,Other
1014,9,B-InvoiceNumber
200,9,Other
e,9,Other
42nd,9,Other
street,9,Other
te,9,Other
at,9,B-InvoiceDate
4,9,I-InvoiceDate
1975,9,E-InvoiceDate
new,9,Other
york,9,Other
n.y,9,Other
pot,9,Other
tease,9,Other
hessho,9,Other
ayish,9,Other
purchase,9,Other
order,9,Other
yobs,9,Other
nio3,9,Other
two,9,Other
black,9,Other
focussed,9,Other
group,9,Other
sessions,9,Other
for,9,Other
menthol,9,Other
smokers,9,Other
in,9,Other
indianapolis,9,Other
ind.,9,Other
july,9,Other
31,9,Other
1975,9,Other
1600,9,Other
0,9,Other
moderator,9,Other
per,9,Other
diem,9,Other
7,9,Other
30,9,Other
75,9,Other
200,9,Other
0,9,Other
adjustments,9,Other
over,9,Other
screening,9,Other
fees,9,Other
60,9,Other
additional,9,Other
co-op,9,Other
fees,9,Other
70,9,Other
travel,9,Other
208.24,9,Other
$,9,B-InvoiceAmount
2138.24,9,I-InvoiceAmount
terms,9,Other
net,9,Other
cash,9,Other
6,9,Other
op,9,Other
nno-24,9,Other
sx7,9,Other
gue.,9,Other
2,9,Other
iro,9,Other
dsp,9,Other
g,9,Other
ny,9,Other
oe,9,Other
